item,quantity,total_cost
CHICKEN BAKE,38,730.71
KS CHEWY PRO,12,224.85
ITO EN JASMN,12,221.88
FAIRLIFECHOC,11,203.94
CELSIUSENRGY,10,191.92
COUGAR VRTY,9,175.92
MARSCHOCVRTY,9,173.94
CHKN CHIMI,6,159.92
HAM/TURK 6PK,6,152.83
SHINBIGBOWL,8,149.51999999999998
MARS VTY 30C,8,144.95
MONSTER ULT,6,116.97
AZ GREEN TEA,6,116.91
PHO BOWLS,5,115.10999999999999
MADELEINES,5,111.47
HERSHEY 30CT,6,107.16
STEAK BURRIT,5,100.74
YAKISOBA,5,95.94
ABF CHX MELT,6,95.92
ITO EN TEA,5,92.44999999999999
CLIFBARS26CT,5,91.96
MOCHA FRAP,5,91.16
VANILLA FRAP,5,91.16
CHOCLT POCKY,5,87.89
STRWBRY PCKY,5,87.89
KS COCO WATE,3,83.93
BROWNIE BITE,5,76.89
FRITOLAY30CT,4,75.96
JLVARIETY9CT,4,67.96
KS COLD BREW,4,67.96
GLDFSH 45CT,4,64.95
NONGSHIMSPCY,3,57.97
SALAME PLATE,3,52.739999999999995
STEAK CHIMI,2,50.07000000000001
MUSCLMLK GEN,2,49.98
CELSIUS VIBE,2,47.98
ENLIGHTEN,3,47.98
1% STRWBRRY,3,47.97
FATBOYS,3,45.96
KSBRKFST120,2,42.99
NABISCO,3,41.07
**RED BULL**,2,38.99
SF RED BULL,2,38.99
FT CRNCH BAR,2,37.98
CHICKEN CUP,3,35.07
PEPRONIPOCKT,2,31.98
DG CHOC MILK,2,31.98
DG WHOLE MLK,2,31.98
V8 VEG.JUICE,2,29.98
GHOST ENERGY,1,27.99
SKINNYPOP 28,2,27.98
CAPRI 100%,1,27.98
RKT VRTY,1,25.98
HALAL BFSTK,1,25.98
NAE POT PIE,2,25.98
NISSIN BEEF,2,23.38
CLIF BUILDER,1,22.49
COUGAR SNICK,1,21.99
PB COUGAR,1,21.99
KS APPLESAU,2,21.58
KS FLV SPARK,2,21.38
C20 ORIGINAL,1,20.99
PANDA COOKIE,2,20.98
POPTARTSTRAW,2,20.98
CAPRI SUN,2,20.98
NURRICHOC,1,19.99
KS CFN SNACK,1,19.98
STASH TEA,1,19.79
LA COLM VRTY,1,18.99
ITO EN GOLD,1,18.49
10OZ TREETOP,1,17.49
DOLE PINEAPL,1,16.99
BAREAPPLEVTY,1,16.59
SKINNYPOPVAR,1,15.99
VIA COL.COFF,1,15.99
CHKN CORNDOG,1,14.99
NV OAT HONEY,1,14.99
WELCH SNACKS,1,13.99
NISSIN RAMEN,1,13.79
MOTTS APPLE,1,12.99
CHKN CARB,1,12.89
PALMER LITE,1,12.79
LIPTON TEA,1,11.99
***KSWTR40PK,1,11.97
KS S&C GRNLA,1,11.59
POPTARTBROWN,1,10.49
EASY MAC CUP,1,9.99
SB PUMPKIN,1,9.39
COFFEEMATE,1,8.29
BANANAS,1,7.96
