item,quantity,total_cost
"Celsius Live Fit Sparkling Vibe Variety Pack 12 fl. oz., 18 pk.",288,323.7
"Nongshim Bowl Noodle Hot and Spicy Beef Ramen 3.03 oz., 18 ct.",126,242.06
"Nongshim Shin Ramyun Spicy Beef Ramen Noodle Soup 4.02 oz., 12 ct.",120,187.39999999999998
"Celsius Sparkling Core Variety Pack, 12 fl. oz., 18 pk.",72,143.88
"Glico Pocky Chocolate Covered Biscuit Sticks, 1.41 oz.,12 pk.",168,139.72
Keurig K-Supreme Single Serve K-Cup Pod Coffee Maker,1,129.98
"Nissin Cup Noodles, Chicken Flavor 2.25 oz., 24 ct.",192,87.84
"Mars Chocolate Candy Bars, Variety Pack, Full Size, 30 pk. Canceled items (1)",90,77.94
"Quest Protein Bar Variety Pack, Gluten Free, 14 ct.",42,74.94
"Quest Soft & Chewy 15g Protein Cookie, Variety Pack, 12 ct.",36,62.88
"Samyang Buldak Carbonara Spicy Chicken Ramen Bowl, 3.7 oz., 6 pk.",30,59.9
"Pop-Tarts Frosted Variety Pack, 48 ct.",288,59.88000000000001
"Mott's Natural Applesauce, 36 ct.",108,58.9
"Frito-Lay Variety Pack Chips, 30 pk.",90,55.44
"Nabisco Classic Mix Cookie & Cracker, Variety Pack, 40 pk.",160,51.92
"HERSHEY'S Variety Pack, Milk Chocolate Candy, 30 pk.",60,47.96
"Sparkling Ice Red Variety Pack 17 fl. oz., 24 pk.",72,47.94
"Sparkling Ice Blue Variety Pack 17 fl. oz., 24 pk.",72,43.64
"Black Rifle Coffee Company Espresso Mocha, 11 fl. oz., 12 pk.",24,39.96
"Nissin Hot and Spicy Ramen Noodle Soup Bowl, Chicken Flavor, 3.32 oz., 12 pk.",36,35.94
"Pure Leaf Real Brewed Tea Sweet Tea 16.9 fl. oz., 18 pk.",36,33.96
"Nature's Garden Trail Mix Snack Packs, 1.2 oz., 24 pk.",72,32.94
"Quest Tortilla-Style 19g Protein Chips, Variety Pack, 14 ct.",14,24.68
"Quest Tortilla Style 18-20g Protein Chip Variety Pack, Chili Lime and Nacho Cheese 14 ct.",14,24.68
"Mott's Assorted Fruit Flavored Snacks, 0.8 oz., 90 pk.",180,23.96
"Capri Sun Variety Pack 6 fl. oz. pouches, 40 pk.",80,20.96
"Pure Protein Bars Gluten Free, Chocolate Variety Pack 23 ct.",23,19.48
"RXBAR Protein Bar, Variety Pack, 1.83 oz., 14 pk.",14,18.68
"Frito-Lay Premiere Mix Variety Pack Chips, 30 pk.",30,18.48
"Sparkling Ice Summer Lemonade Variety Pack, 17 fl. oz., 24 pk.",24,15.98
"Capri Sun 100% Juice Variety Pack, 6 fl. oz. pouches, 40 pk.",40,13.98
"IQBAR Protein Bar Variety Pack, 12 ct.",12,13.98
"Nongshim Spicy Chicken Ramen Noodle Soup Bowl 3.03 oz., 12 ct.",12,13.84
"Mott's 100% Original Apple Juice 8 fl. oz., 24 pk.",24,12.98
"Healthy Choice Soup Variety Pack, 15 oz., 10 pk.",10,11.48
"Nonni's Almond Chocolate Biscotti, 24 ct.",24,11.28
